,subject_id,mean_pretrain_val_accuracy,std_pretrain_val_accuracy,layer unfrozen,learning_rate,dW_min,mean_finetune_val_accuracy,std_finetune_val_accuracy,Delta_accuracy
370,12,0.821975,0.0075499999999999,r1,0.0004,0.025,0.8655305,0.0547607514466337,0.0435554999999999
371,12,0.821975,0.0075499999999999,r1,0.0006,0.025,0.8655305,0.0547607514466337,0.0435554999999999
372,12,0.821975,0.0075499999999999,r1fc1fc2,0.0001,0.025,0.8655305,0.0547607514466337,0.0435554999999999
373,12,0.821975,0.0075499999999999,r1fc1fc2,0.0002,0.025,0.84280325,0.0492425,0.0208282499999999
374,12,0.821975,0.0075499999999999,r1fc1fc2,0.0004,0.025,0.844697,0.0435194139896208,0.022722
375,12,0.821975,0.0075499999999999,r1fc1fc2,0.0006,0.025,0.844697,0.0435194139896208,0.022722
388,13,0.638625,0.1571416213695998,fc1,0.0001,0.025,0.684091,0.1031599617907386,0.045466
389,13,0.638625,0.1571416213695998,fc1,0.0002,0.025,0.684091,0.0775395713426377,0.045466
390,13,0.638625,0.1571416213695998,fc1,0.0004,0.025,0.746591,0.1806162186995767,0.107966
391,13,0.638625,0.1571416213695998,fc1,0.0006,0.025,0.7920455,0.1659091004566456,0.1534204999999999
392,13,0.638625,0.1571416213695998,fc1fc2,0.0001,0.025,0.68181825,0.1394157931928206,0.0431932499999999
393,13,0.638625,0.1571416213695998,fc1fc2,0.0002,0.025,0.7026515,0.1425872640514105,0.0640264999999999
394,13,0.638625,0.1571416213695998,fc1fc2,0.0004,0.025,0.76931825,0.1673556466498317,0.1306932499999999
395,13,0.638625,0.1571416213695998,fc1fc2,0.0006,0.025,0.725379,0.1820680169039398,0.086754
396,13,0.638625,0.1571416213695998,fc2,0.0001,0.025,0.68181825,0.1394157931928206,0.0431932499999999
