Export_timestamp:	2025-11-13T19:55:46
Instrument_IDN:	Keysight Technologies,B2912B,MY63320353,5.0.2331.95
Chip:	NASA-FTJ-04
Device:	05-29
Area:	8300.0
Data_path:	C:\Scratch\Data\Nathan\NextCloud\06 - FeCAP-FTJ\02 - Data\00 - SMU\01 - PWR\NASA-FTJ-04
Device_area_m2:	8300.0
Vwrite_step_V:	0.05
Vmax_pos_V:	1
Vmax_neg_V:	-1.25
Vread_min_V:	
Vread_max_V:	
Read_points:	20
read_tail_avg_points:	10
pulse_duration_s:	0.0005
idle_between_ops_s:	1
nplc:	20
settle_s:	0.25
four_wire:	False
current_limit_A:	0.0008
Cycles_measured:	460

cycle	V_write	R_neg_ohm	R_pos_ohm	I_neg_A	I_pos_A	J_neg_A_per_m2	J_pos_A_per_m2	Vread_min_V	Vread_max_V
93	0.0	10789284.950362999	14701797.819847684	7.414763848396501e-09	6.801889212827989e-09	8.933450419754821e-13	8.19504724437107e-13	-0.08	0.1
94	0.05	10965445.101163426	14878951.272519058	7.295645481049561e-09	6.720903790087462e-09	8.789934314517544e-13	8.097474445888509e-13	-0.08	0.1
95	0.1	11089112.495974945	15010835.81034006	7.214283381924197e-09	6.6618542274052475e-09	8.691907689065298e-13	8.026330394464154e-13	-0.08	0.1
96	0.15000000000000002	11970606.054683687	16247530.896361595	6.683036734693875e-09	6.154781341107872e-09	8.051851487582983e-13	7.415399206154063e-13	-0.08	0.1
97	0.2	14113762.687984625	19334509.56297244	5.668226239067054e-09	5.1720991253644315e-09	6.829188239839824e-13	6.231444729354737e-13	-0.08	0.1
98	0.25	17302067.874549415	24017017.77259315	4.623724781341108e-09	4.163714285714286e-09	5.570752748603745e-13	5.016523235800344e-13	-0.08	0.1
99	0.30000000000000004	21486623.793648228	30291683.299126398	3.7232466472303207e-09	3.301236151603499e-09	4.4858393340124347e-13	3.977392953739155e-13	-0.08	0.1
100	0.35000000000000003	26828104.59049988	38463867.513843626	2.981947521865889e-09	2.599842565597668e-09	3.5927078576697457e-13	3.1323404404791177e-13	-0.08	0.1
101	0.4	33159383.52549019	48743470.08032016	2.4125900874635566e-09	2.051556851311953e-09	2.906735045136815e-13	2.4717552425445213e-13	-0.08	0.1
102	0.45	39863603.71626412	60255779.63600591	2.0068431486880467e-09	1.6595918367346938e-09	2.4178833116723455e-13	1.9995082370297516e-13	-0.08	0.1
103	0.5	47201358.51840028	73408553.9156936	1.6948664723032068e-09	1.3622390670553936e-09	2.0420077979556708e-13	1.6412518880185465e-13	-0.08	0.1
104	0.55	54595752.673281826	87498214.3221567	1.4653154518950438e-09	1.1428804664723031e-09	1.7654403034880046e-13	1.3769644174365098e-13	-0.08	0.1
105	0.6000000000000001	61550056.52556213	101992268.80761227	1.299755102040816e-09	9.804664723032069e-10	1.5659700024588145e-13	1.1812849063894058e-13	-0.08	0.1
106	0.65	67653393.7151378	115603429.6807593	1.1824979591836735e-09	8.650262390670553e-10	1.4246963363658715e-13	1.0422002880325968e-13	-0.08	0.1
107	0.7000000000000001	73277445.92850856	127779102.3424927	1.09174110787172e-09	7.826005830903791e-10	1.3153507323755665e-13	9.428922687835892e-14	-0.08	0.1
108	0.75	78055307.76092774	140399996.7253645	1.0249142857142859e-09	7.122507288629738e-10	1.2348364888123926e-13	8.581334082686432e-14	-0.08	0.1
109	0.8	82184428.56663649	148924530.43183774	9.734204081632652e-10	6.714810495626822e-10	1.1727956724858617e-13	8.090133127261231e-14	-0.08	0.1
110	0.8500000000000001	84036084.06548445	157637369.7078883	9.519720116618075e-10	6.343673469387755e-10	1.1469542309178403e-13	7.642980083599705e-14	-0.08	0.1
111	0.9	88397960.91933881	167215927.92652252	9.049982507288629e-10	5.980291545189503e-10	1.0903593382275456e-13	7.205170536372895e-14	-0.08	0.1
112	0.9500000000000001	91184117.48129795	173549621.02429697	8.773457725947522e-10	5.76204081632653e-10	1.0570430995117496e-13	6.942217850995819e-14	-0.08	0.1
113	1.0	93275971.7833387	181579476.75465068	8.576699708454809e-10	5.507230320699708e-10	1.0333373142716638e-13	6.63521725385507e-14	-0.08	0.1
114	-0.05	91955132.32960151	174455272.31298193	8.699895043731778e-10	5.732128279883381e-10	1.0481801257508166e-13	6.906178650461905e-14	-0.08	0.1
115	-0.1	91377969.11797616	174996428.6443134	8.754845481049562e-10	5.714402332361516e-10	1.054800660367417e-13	6.884822087182549e-14	-0.08	0.1
116	-0.15000000000000002	86268907.4784831	166138704.02123478	9.273329446064138e-10	6.019067055393585e-10	1.1172686079595348e-13	7.251888018546489e-14	-0.08	0.1
117	-0.2	76494201.60570921	145726764.44097006	1.0458309037900872e-09	6.862157434402332e-10	1.2600372334820326e-13	8.267659559520881e-14	-0.08	0.1
118	-0.25	64121018.60818133	121960759.21461542	1.2476408163265304e-09	8.199358600583088e-10	1.5031817064175064e-13	9.878745301907336e-14	-0.08	0.1
119	-0.3	52133047.1842075	98540565.3872673	1.5345352769679298e-09	1.0148104956268221e-09	1.8488376830938912e-13	1.2226632477431592e-13	-0.08	0.1
120	-0.35000000000000003	41548058.86984435	78109343.97260025	1.925481049562682e-09	1.2802565597667639e-09	2.319856686220099e-13	1.5424777828515227e-13	-0.08	0.1
121	-0.4	32886347.467751246	62151867.998854816	2.432620408163265e-09	1.6089620991253645e-09	2.9308679616424883e-13	1.9385085531630897e-13	-0.08	0.1
122	-0.45	25857441.81698661	49114788.27660075	3.093886880466472e-09	2.0360466472303205e-09	3.727574554778882e-13	2.453068249675085e-13	-0.08	0.1
123	-0.5	20750628.266106542	39284135.39397521	3.855304956268222e-09	2.5455568513119534e-09	4.644945730443641e-13	3.0669359654360883e-13	-0.08	0.1
124	-0.55	17111499.126964334	32084441.010463458	4.675218658892127e-09	3.1167755102040817e-09	5.632793564930274e-13	3.7551512171133513e-13	-0.08	0.1
125	-0.6000000000000001	14266794.887579324	26860038.058246348	5.607426239067054e-09	3.723002915451895e-09	6.755935227791631e-13	4.485545681267343e-13	-0.08	0.1
126	-0.6500000000000001	12602362.042714294	23399392.843742542	6.3480163265306115e-09	4.273615160349854e-09	7.648212441603147e-13	5.148933928132354e-13	-0.08	0.1
127	-0.7000000000000001	11476269.884394147	21003643.48917669	6.970906122448979e-09	4.761078717201167e-09	8.398682075239735e-13	5.736239418314659e-13	-0.08	0.1
128	-0.7500000000000001	10704579.81247324	19337409.035249338	7.473436734693878e-09	5.171323615160349e-09	9.004140644209491e-13	6.230510379711264e-13	-0.08	0.1
129	-0.8	10114992.424077103	18058771.56127821	7.909051895043732e-09	5.5374752186588904e-09	9.528978186799678e-13	6.671656889950471e-13	-0.08	0.1
130	-0.8500000000000001	9696436.517175699	17105662.123775177	8.250453644314868e-09	5.84601749271137e-09	9.940305595560081e-13	7.04339456953177e-13	-0.08	0.1
131	-0.9000000000000001	9382962.182011958	16393897.073091928	8.526092128279883e-09	6.099830903790088e-09	1.0272400154554077e-12	7.349193859988057e-13	-0.08	0.1
132	-0.9500000000000001	9154849.881814359	15856784.114738397	8.738537609329445e-09	6.306448979591837e-09	1.0528358565457163e-12	7.598131300713057e-13	-0.08	0.1
133	-1.0	8965351.399954	15453374.061759437	8.923241982507285e-09	6.4710787172011645e-09	1.0750893954828053e-12	7.796480382170078e-13	-0.08	0.1
134	-1.05	8819153.865180591	15112116.03990304	9.07116501457726e-09	6.617206997084547e-09	1.092911447539429e-12	7.972538550704274e-13	-0.08	0.1
135	-1.1	8711398.725545226	14851287.948721057	9.18337026239067e-09	6.733422740524782e-09	1.1064301520952613e-12	8.112557518704557e-13	-0.08	0.1
136	-1.1500000000000001	8619476.498733466	14649542.789050855	9.281306122448978e-09	6.826151603498543e-09	1.1182296533071058e-12	8.22427904035969e-13	-0.08	0.1
137	-1.2000000000000002	8556155.068461712	14491492.268810002	9.34999416909621e-09	6.900600583090378e-09	1.1265053215778566e-12	8.313976606132985e-13	-0.08	0.1
138	-1.2500000000000002	8492158.989061704	14332717.959689546	9.420454810495625e-09	6.977043731778425e-09	1.1349945554814006e-12	8.406076785275211e-13	-0.08	0.1
139	0.0	10779492.43989883	14689595.569309626	7.42149970845481e-09	6.807539358600582e-09	8.941565913800976e-13	8.201854648916364e-13	-0.08	0.1
140	0.05	10954798.52113414	14849821.975312063	7.302735860058308e-09	6.7340874635568515e-09	8.798476939829287e-13	8.113358389827532e-13	-0.08	0.1
141	0.1	11071023.033537779	14983426.495590592	7.226071137026237e-09	6.674040816326531e-09	8.706109803646069e-13	8.041013031718711e-13	-0.08	0.1
142	0.15000000000000002	11932941.738020787	16190410.556714114	6.704130612244899e-09	6.176495626822157e-09	8.07726579788542e-13	7.441560996171274e-13	-0.08	0.1
143	0.2	14064501.526182938	19245875.8837392	5.688079300291544e-09	5.195918367346939e-09	6.853107590712703e-13	6.260142611261372e-13	-0.08	0.1
144	0.25	17277560.227157105	23946293.281354293	4.630283381924197e-09	4.176011661807579e-09	5.578654677017105e-13	5.031339351575397e-13	-0.08	0.1
145	0.30000000000000004	21325196.18558765	29970833.04935314	3.751430903790088e-09	3.3365772594752183e-09	4.519796269626612e-13	4.019972601777371e-13	-0.08	0.1
